Cantón,Parroquia,Casa/Villa,Departamento en casa o edificio,Cuarto(s) en casa de inquilinato,Mediagua,Rancho,Covacha,Choza,Otra vivienda particular
24 DE MAYO                    ,ARQ. SIXTO DURAN BALLEN       ,582,4,2,1,339,39,19,1
24 DE MAYO                    ,BELLAVISTA                    ,855,3,4,7,323,28,45,1
24 DE MAYO                    ,NOBOA                         ,923,7,0,10,589,166,56,3
24 DE MAYO                    ,SUCRE                         ,"2,305",30,14,18,950,114,53,1
BOLIVAR                       ,CALCETA                       ,"6,077",307,76,43,"1,095",179,234,26
BOLIVAR                       ,MEMBRILLO                     ,521,1,2,1,190,28,71,0
BOLIVAR                       ,QUIROGA                       ,402,1,1,1,266,14,19,0
CHONE                         ,BOYACA                        ,861,1,0,35,159,33,26,0
CHONE                         ,CANUTO                        ,"1,818",56,8,9,391,74,82,9
CHONE                         ,CHIBUNGA                      ,"1,099",4,0,8,237,26,42,17
CHONE                         ,CHONE                         ,"12,245","2,399",243,233,"2,440",275,325,60
CHONE                         ,CONVENTO                      ,"1,126",22,1,9,266,29,75,2
CHONE                         ,ELOY ALFARO                   ,"1,124",13,4,10,672,65,55,1
CHONE                         ,RICAURTE                      ,"1,175",18,2,28,537,49,41,2
CHONE                         ,SAN ANTONIO                   ,"1,292",36,15,41,463,105,48,2
EL CARMEN                     ,EL CARMEN                     ,"13,336",974,474,548,"2,472",389,226,31
EL CARMEN                     ,WILFRIDO LOOR MOREIRA         ,779,6,0,8,236,41,21,1
FLAVIO ALFARO                 ,FLAVIO ALFARO                 ,"3,191",153,43,28,858,67,143,3
FLAVIO ALFARO                 ,SAN FRANCISCO DE NOVILLO      ,442,1,1,7,148,10,18,0
FLAVIO ALFARO                 ,ZAPALLO                       ,545,5,2,1,268,23,32,0
JAMA                          ,JAMA                          ,"2,836",177,49,36,530,81,82,13
JARAMIJO                      ,JARAMIJO                      ,"3,509",155,58,136,353,137,17,8
JIPIJAPA                      ,AMERICA                       ,564,0,2,26,293,68,24,0
JIPIJAPA                      ,EL ANEGADO                    ,"1,205",16,3,54,550,121,58,6
JIPIJAPA                      ,JIPIJAPA                      ,"9,609",237,111,450,"1,468",408,95,22
JIPIJAPA                      ,JULCUY                        ,309,9,0,17,164,71,17,2
JIPIJAPA                      ,LA UNION                      ,356,2,0,19,149,33,27,0
JIPIJAPA                      ,MEMBRILLAL                    ,225,0,0,7,64,12,13,1
JIPIJAPA                      ,PEDRO PABLO GOMEZ             ,616,5,3,38,281,68,50,3
JIPIJAPA                      ,PUERTO DE CAYO                ,707,15,3,31,85,24,19,7
JUNIN                         ,JUNIN                         ,"3,587",62,7,65,609,150,274,9
MANTA                         ,MANTA                         ,"43,110","6,757","1,436","1,237","1,871",536,152,97
MANTA                         ,SAN LORENZO                   ,561,3,3,0,74,10,12,0
MANTA                         ,SANTA MARIANITA               ,606,9,2,11,61,17,7,1
MONTECRISTI                   ,LA PILA                       ,590,13,11,13,15,4,0,0
MONTECRISTI                   ,MONTECRISTI                   ,"13,997",529,186,586,"1,376",310,80,31
OLMEDO                        ,OLMEDO                        ,"1,420",23,2,10,932,94,44,1
PAJAN                         ,CAMPOZANO                     ,"1,475",0,2,11,623,130,119,0
PAJAN                         ,CASCOL                        ,"1,348",2,2,20,397,93,71,3
PAJAN                         ,GUALE                         ,443,5,2,9,488,97,33,0
PAJAN                         ,LASCANO                       ,516,0,1,12,678,50,40,2
